116th Bill Name,117th Bill Name,Matches,Short Title,Long Title
116-HB1702,117-HB1029,short,Free Veterans from Fees Act,
116-HB1818,117-HB5655,short,Kelsey Smith Act,
116-HB8599,117-HB1538,long,,"To amend the United States-Mexico Border Health Commission Act, with respect to preparedness for COVID-19 and other infectious diseases in the border region, and for other purposes."
116-HB8773,117-HB3501,short,To amend the Harmonized Tariff Schedule of the United States to provide for permanent duty-free treatment on imports of basketballs.,
116-HB1798,117-HB891,short,Students and Families Empowerment Act,
116-HB2905,117-HB3808,short,Medicare IVIG Access Enhancement Act,
116-HB8828,117-HB5578,short,Public Safety and Wildlife Protection Act,
116-HB8192,117-HB1835,short,COVID Community Care Act,
116-HB8406,117-HB1835,long,,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2021, and for other purposes."
116-HB4080,117-HB7545,short,Kimberly Vaughan Firearm Safe Storage Act,
116-HB4697,117-HB2958,short,End the Limo Loophole Act,
116-HR588,117-HR856,short & long,"Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day"".","Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day""."
116-HB5789,117-HB3155,short,Small Business Child Care Investment Act,
116-HB5989,117-HB3222,short,Alabama Black Belt National Heritage Area Act,
116-HB9017,117-HB6500,long,,To temporarily allow a deduction for the trade or business expenses of employees.
116-HB4901,117-HB1522,short,Puerto Rico Statehood Admission Act,
116-HB3980,117-HB3151,short,Eric’s Law,
116-HB385,117-HB1496,short,Sarah's Law,
116-HB5583,117-HB2747,short,Help Grandfamilies Prevent Child Abuse Act,
116-HB8363,117-HB6079,long,,"To protect our democracy by preventing abuses of presidential power, restoring checks and balances and accountability and transparency in government, and defending elections against foreign interference, and for other purposes."
116-HB8170,117-HB938,short,Wildland Firefighter Recognition Act,
116-HB613,117-HB1695,short,TRICARE Reserve Select Improvement Act,
116-HB2614,117-HB195,short,Group Term Life Insurance Increase Act,
116-HB1313,117-HB396,short,Transit Security Grant Program Flexibility Act,
116-HB1381,117-HB2433,short,Burn Pit Registry Enhancement Act,
116-HB2349,117-HB2310,short,Climate Change Education Act,
116-HB7401,117-HB1616,short & long,Promoting Interagency Coordination for Review of Natural Gas Pipelines Act,"To provide for Federal and State agency coordination in the approval of certain authorizations under the Natural Gas Act, and for other purposes."
116-HB3983,117-HB1616,short & long,Promoting Interagency Coordination for Review of Natural Gas Pipelines Act,"To provide for Federal and State agency coordination in the approval of certain authorizations under the Natural Gas Act, and for other purposes."
116-HB7886,117-HB1945,short,HITS Act Help Independent Tracks Succeed Act,
116-HB1537,117-HB5081,short,Bayard Rustin Stamp Act,
116-HB1626,117-HB231,short,Public Service Spending Integrity Act,
116-HR908,117-HR151,short,Condemning all forms of anti-Asian sentiment as related to COVID-19.,
116-HB8840,117-HB315,short,Medicare Sequester COVID Moratorium Act,
116-HB4866,117-HB4369,long,,"To amend the 21st Century Cures Act to provide for designation of institutions of higher education that provide research, data, and leadership on continuous manufacturing as National Centers of Excellence in Continuous Pharmaceutical Manufacturing, and for other purposes."
116-HB6655,117-HB2744,short,Hazardous Duty Pay for Frontline Federal Workers Act,
116-HB7769,117-HB1732,short,RETAIN Act Retaining Educators Takes Added Investment Now Act,
116-HB958,117-HB2740,short,Native Youth and Tribal Officer Protection Act,
116-HB5003,117-HB1491,short,Fair Debt Collection Practices for Servicemembers Act,
116-HB5981,117-HB6889,short,Credit Union Board Modernization Act,
116-HB5464,117-HB7542,short,Congressional Accountability Act Enhancement Act,
116-HB5452,117-HB2599,short,Sandy Duplication of Benefits Fairness Act,
116-HCR97,117-HCR36,short,Establishing the Joint Select Committee on the Events and Activities Surrounding China's Handling of the 2019 Novel Coronavirus.,
116-HB4437,117-HB7261,short,Small Business Flexibility Act,
116-HB6471,117-HB896,short,Dr. Li Wenliang Congressional Gold Medal Act,
116-HB5955,117-HB1401,short,Muhammad Ali Congressional Gold Medal Act,
116-HB6696,117-HB346,short,SUPPLIES Act Shoring Up Personal Protective and Lifesaving Indispensable Equipment Stockpile Act,
116-HB665,117-HB1884,short,Save Oak Flat Act,
116-HB1451,117-HB1245,short,Alice Paul Voter Protection Act,
116-HB7072,117-HB2601,short,SFC Heath Robinson Burn Pit Transparency Act,
116-HB7641,117-HB3278,short & long,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.
116-HB7352,117-HB1051,short & long,BROADBAND Leadership Act Barriers and Regulatory Obstacles Avoids Deployment of Broadband Access and Needs Deregulatory Leadership Act,"To amend the Communications Act of 1934 to streamline siting processes for telecommunications service facilities, and for other purposes."
116-HB8230,117-HB6794,short,Integrating New Technologies to Empower Law Enforcement at Our Borders Act,
116-HB7344,117-HB1046,short & long,Federal Broadband Deployment in Unserved Areas Act,To require the Federal Communications Commission to provide broadband availability data to the Department of the Interior.
116-HB43,117-HB118,short,Cyber Vulnerability Disclosure Reporting Act,
116-HB1762,117-HB3382,short,Partner with Korea Act,
116-HB6683,117-HB3782,short & long,Relief for America's Small Farmers Act,"To provide loan forgiveness for certain borrowers of Department of Agriculture direct farm loans, and for other purposes."
116-HB9053,117-HB545,short,No Congressional Gun Loophole Act,
116-HB7430,117-HB4249,short & long,Screening With Dignity Act,"To protect the dignity and privacy of transgender and other minority travelers at airport security checkpoints, and for other purposes."
116-HB1517,117-HB3581,short,COMMUTE Act Connecting Opportunities through Mobility Metrics and Unlocking Transportation Efficiencies Act,
116-HB6284,117-HB3628,short,21st Century Smart Cars Act,
116-HB6952,117-HB316,short & long,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.
116-HB8762,117-HB548,short & long,Fast Track Advanced Apprenticeships Now Act,"To direct the Secretary of Labor to make a determination on whether to approve an occupation as an apprenticeable occupation in a timely manner, and for other purposes."
116-HJR106,117-HJR53,short & long,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.
116-HJR104,117-HJR53,short,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,
116-HJR92,117-HJR53,short,Proposing an amendment to the Constitution of the United States to prohibit the use of slavery and involuntary servitude as a punishment for a crime.,
116-HB2623,117-HB3010,short,Search and Rescue Dog Protection Act,
116-HB2497,117-HB1416,short,Tribal Adoption Parity Act,
116-HB5971,117-HB9225,long,,"To amend the Immigration Services and Infrastructure Improvements Act of 2000 to provide for additional rules regarding processing of immigration applications, and for other purposes."
116-HCR117,117-HCR21,short,"Expressing the sense of Congress that the United States should resume normal diplomatic relations with Taiwan, negotiate a bilateral free trade agreement with Taiwan, and support Taiwan's membership in international organizations.",
116-HB5940,117-HB115,short,"To award a Congressional Gold Medal to Lyndon Baines Johnson, the 36th President of the United States whose visionary leadership secured passage of the landmark Voting Rights Act of 1965, Social Security Amendments Act (Medicare) of 1965, Civil Rights Act of 1964, Higher Education Act of 1965, and Immigration and Naturalization Act of 1965.",
116-HB3938,117-HB3367,short,Gold Star Children Act,
116-HB9018,117-HB4501,long,,"To provide for the establishment of the Office for Access to Justice in the Department of Justice, and for other purposes."
116-HR1105,117-HR592,short,"Honoring the Buffalo Soldiers who were dishonorably discharged and ultimately had their honorable service restored following events which occurred in 1906 in Brownsville, Texas.",
116-HB2146,117-HB2237,short,GRACE Act Guaranteed Refugee Admission Ceiling Enhancement Act,
116-HB7470,117-HB8790,short & long,Building a Health Care Workforce for the Future Act,To amend the Public Health Service Act to help build a stronger health care workforce.
116-HB5604,117-HB8064,short,Advanced Manufacturing Jobs in America Act,
116-HB5220,117-HB2593,long,,"To amend the Congressional Budget and Impoundment Control Act of 1974 to provide for a legislative line-item veto to expedite consideration of rescissions, and cancellations of items of new direct spending and limited tax benefits."
116-HB7336,117-HB1103,short,CABLE Competition Act Consumer Access to Broadband for Local Economies and Competition Act,
116-HB8501,117-HB3737,short,"TEAMS Act Tax-preparer Enforcement, Accountability, and Minimum Standards Act",
116-HB848,117-HB756,short,To restrict certain Federal assistance benefits to individuals verified to be citizens of the United States.,
116-HB8622,117-HB170,long,,"To direct the Secretary of Homeland Security to establish national hazard preparation and response exercises, and for other purposes."
116-HB4527,117-HB4148,short,Expanding Health Care Options for Early Retirees Act,
116-HB8988,117-HB4320,long,,To amend the Internal Revenue Code of 1986 to reduce the base erosion minimum tax rate for taxable years ending in 2020.
116-HB3971,117-HB6590,short,Senior Citizens Tax Elimination Act,
116-HB2108,117-HB1166,short,Retirement Freedom Act,
116-HB4372,117-HB2027,short,MSI STEM Achievement Act,
116-HB5369,117-HB1122,short,Supporting Mexico Against Corruption Act,
116-HR266,117-HR1018,short,"Recognizing March 31 as ""César Chávez Day"" in honor of the accomplishments and legacy of César Estrada Chávez.",
116-HCR48,117-HR482,short,Supporting National Men's Health Week.,
116-HCR103,117-HR482,short,Supporting National Men's Health Week.,
116-HB600,117-HB649,short,Abby Honold Act,
116-HB6926,117-HB2297,short,MIND Act Meeting IMD Needs with Direction Act,
116-HB75,117-HB44,short,"To amend title 28, United States Code, to provide that the United States district court for the District of Columbia shall have exclusive jurisdiction over actions arising under the immigration laws, and for other purposes.",
116-HB7132,117-HB3583,short,Never Again International Outbreak Prevention Act,
116-HJR50,117-HJR13,short,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.,
116-HB308,117-HB4364,short,"To redesignate Gravelly Point Park, located along the George Washington Memorial Parkway in Arlington County, Virginia, as the Nancy Reagan Memorial Park, and for other purposes.",
116-HB5082,117-HB3377,short,Gigabit Opportunity Act,
116-HB2899,117-HB5795,short,Main Street Growth Act,
116-HB5873,117-HB1842,short & long,Harriet Tubman Bicentennial Commemorative Coin Act,To require the Secretary of the Treasury to mint commemorative coins in recognition of the Bicentennial of Harriet Tubman's birth.
116-HB7372,117-HB1536,short,Improving College Affordability for our Guard and Reserve Act,
116-HB5942,117-HB117,short,DHS Cybersecurity On-the-Job Training and Employment Apprentice Program Act,
116-HB1613,117-HB1572,short,Democracy Dollars Act,
116-HB2389,117-HB5826,short,"To allow States to elect to observe year-round daylight saving time, and for other purposes.",
116-HB2576,117-HB7252,short,Federal Government Advertising Equity Accountability Act,
116-HB4642,117-HB2400,short & long,Community Broadband Mapping Act,"To allow Rural Utilities Service telecommunications grants to be made for the collection of broadband infrastructure data by local governments, economic development or other community organizations, electric or telephone cooperatives, and small internet providers."
116-HR1038,117-HR215,short,Recognizing the forthcoming centennial of the 1921 Tulsa Race Massacre.,
116-HB6473,117-HB4343,short,Patriot Retention Act,
116-HB3948,117-HB2628,short,Debt Collection Practices Harmonization Act,
116-HB5622,117-HB6910,short,For the relief of Igor Klyuchenko.,
116-HB8396,117-HB1865,short,Jenna Quinn Law,
116-HB5050,117-HB5974,short,Veterans and Consumers Fair Credit Act,
116-HB8927,117-HB7190,short,Federal Gift Shop Tax Act,
116-HB7433,117-HB3641,short,Military Spouse Student Loan Deferment Act,
116-HB6633,117-HB1034,short,Domestic Violence Public Health Emergency Guidance Act,
116-HB2499,117-HB6684,short,Hire Student Veterans Act,
116-HB947,117-HB537,short,Supplemental Security Income Equality Act,
116-HB6061,117-HB5646,short,State Justice Improvement Act,
116-HB949,117-HB837,short,Free Speech Fairness Act,
116-HB3346,117-HB4236,short,HOPE Act Health Opportunities to Promote Equity Act,
116-HR1093,117-HR283,short,"Establishing a ""Bill of Rights"" to support United States law enforcement personnel nationwide in their work to protect our communities.",
116-HB8593,117-HB2496,short,"For the relief of Lucio Enrique Perez Ortiz, Dora Gonzalez Santizo, and Edvin Oriany Perez Gonzalez.",
116-HB5741,117-HB5125,short,Strengthening Innovation in Medicare and Medicaid Act,
116-HB5577,117-HB864,long,,To amend title II of the Social Security Act to exclude from creditable wages and self-employment income wages earned for services by aliens illegally performed in the United States and self-employment income derived from a trade or business illegally conducted in the United States.
116-HB7350,117-HB1067,short & long,Standard FEES Act Standard Fees to Expedite Evaluation and Streamlining Act,"To streamline the process for consideration of applications for the placement of communications facilities on certain buildings and other property owned by the Federal Government, and for other purposes."
116-HB1378,117-HB4206,short,District of Columbia Clemency Home Rule Act,
116-HB5326,117-HB2812,short,Fairness in Nursing Home Arbitration Act,
116-HB6188,117-HB1739,short,Support Our Military Working Dogs Act,
