116th Bill Name,117th Bill Name,Cosine Score,Matches,Short Title,Long Title
116-HB1702,117-HB1029,0.944748456216779,short,Free Veterans from Fees Act,
116-HB1818,117-HB5655,0.7959804794022773,short,Kelsey Smith Act,
116-HB8599,117-HB1538,0.9486279518191035,long,,"To amend the United States-Mexico Border Health Commission Act, with respect to preparedness for COVID-19 and other infectious diseases in the border region, and for other purposes."
116-HB8773,117-HB3501,0.9472112628334617,short,To amend the Harmonized Tariff Schedule of the United States to provide for permanent duty-free treatment on imports of basketballs.,
116-HB1798,117-HB891,0.9515661917089566,short,Students and Families Empowerment Act,
116-HB2905,117-HB3808,0.9694541584845437,short,Medicare IVIG Access Enhancement Act,
116-HB8828,117-HB5578,0.9483902649188652,short,Public Safety and Wildlife Protection Act,
116-HB8192,117-HB1835,0.9821207944420658,short,COVID Community Care Act,
116-HB8406,117-HB1835,0.8679268090045973,long,,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2021, and for other purposes."
116-HB4080,117-HB7545,0.8825964471280433,short,Kimberly Vaughan Firearm Safe Storage Act,
116-HB4697,117-HB2958,0.9883937638615805,short,End the Limo Loophole Act,
116-HR588,117-HR856,0.9571433960407225,short & long,"Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day"".","Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day""."
116-HB5789,117-HB3155,0.9744214481022887,short,Small Business Child Care Investment Act,
116-HB5989,117-HB3222,0.9332510957541936,short,Alabama Black Belt National Heritage Area Act,
116-HB9017,117-HB6500,0.9712577080763233,long,,To temporarily allow a deduction for the trade or business expenses of employees.
116-HB4901,117-HB1522,0.9797240260416753,short,Puerto Rico Statehood Admission Act,
116-HB3980,117-HB3151,0.9716631562767524,short,Eric’s Law,
116-HB385,117-HB1496,0.9444124417009483,short,Sarah's Law,
116-HB5583,117-HB2747,0.9115019028123297,short,Help Grandfamilies Prevent Child Abuse Act,
116-HB8363,117-HB6079,0.9649397363936438,long,,"To protect our democracy by preventing abuses of presidential power, restoring checks and balances and accountability and transparency in government, and defending elections against foreign interference, and for other purposes."
116-HB8170,117-HB938,0.8648955324273058,short,Wildland Firefighter Recognition Act,
116-HB613,117-HB1695,0.9147010161462643,short,TRICARE Reserve Select Improvement Act,
116-HB2614,117-HB195,0.7826561481547082,short,Group Term Life Insurance Increase Act,
116-HB1313,117-HB396,0.9597120173347717,short,Transit Security Grant Program Flexibility Act,
