116th Bill Name,117th Bill Name,Long Title
116-HB6051,117-HB2023,"To authorize a pilot program for dyslexia screening and early literacy intervention using evidence-based services for students suspected of having an early reading deficiency or dyslexia, and for other purposes."
116-HB8978,117-HB9053,"To establish the Office for the Equitable, Transparent, and Accountable Puerto Rico Reconstruction, and for other purposes."
116-HB9056,117-HB1599,"To amend the Department of Energy Organization Act to secure the supply of critical energy resources, including critical minerals and other materials, and for other purposes."
116-HB8939,117-HB1080,"To amend title 18, United States Code, to protect pain-capable unborn children, and for other purposes."
116-HB8976,117-HB2009,"To clarify access to courts of the United States for persons seeking redress for a violation of a constitutional right by the United States or any agent, person, or entity acting in the name of the United States, and for other purposes."
116-HB7842,117-HB1160,"To amend the Higher Education Act of 1965 to improve protections against foreign influence at institutions of higher education, and for other purposes."
116-HB4886,117-HB3673,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to establish the Adverse Childhood Experiences Response Team grant program, and for other purposes."
116-HB5469,117-HB1475,"To address mental health issues for youth, particularly youth of color, and for other purposes."
116-HB5141,117-HB6207,To substantially restrict the use of animal testing for cosmetics.
116-HB7808,117-HB8612,"To amend section 230 of the Communications Act of 1934 (commonly referred to as the Communications Decency Act) to stop censorship, and for other purposes."
116-HB3799,117-HB2920,"To amend the Immigration and Nationality Act to promote family unity, and for other purposes."
116-HB8708,117-HB2920,"To amend the Immigration and Nationality Act to promote family unity, and for other purposes."
116-HR1266,117-HR159,"Expressing appreciation and support for essential employees with disabilities during the current pandemic, and beyond."
116-HB4873,117-HB2838,"To provide for special immigrant status for Syrian Kurds and other Syrians who partnered with the United States Government in Syria, and for other purposes."
116-HB7080,117-HB588,"To direct the Secretary of Health and Human Services to award grants to States, political subdivisions of States, Indian Tribes and Tribal organizations, community-based entities, and primary care and behavioral health organizations to address behavioral health needs caused by the public health emergency declared with respect to COVID-19."
116-HB5608,117-HB3731,"To assist communities affected by stranded nuclear waste, and for other purposes."
116-HJR98,117-HJR19,Proposing an amendment to the Constitution of the United States to repeal the twenty-third article of amendment to the Constitution of the United States.
116-HB6008,117-HB2992,"To direct the Attorney General to develop crisis intervention training tools for use by first responders related to interacting with persons who have a traumatic brain injury, another form of acquired brain injury, or post-traumatic stress disorder, and for other purposes."
116-HB5980,117-HB3327,"To amend title 5, United States Code, to provide for the temporary halt in pension payments for Members of Congress sentenced for certain offenses, and for other purposes."
116-HB6982,117-HB4774,"To amend the Natural Gas Act with respect to the rehearing process, and for other purposes."
116-HB8238,117-HB1625,"To establish the Office of Intelligence in the Department of Agriculture, and for other purposes."
116-HR1029,117-HR406,"Amending the Rules of the House of Representatives with respect to the enforcement of committee subpoenas to executive branch officials, and for other purposes."
116-HB7860,117-HB1194,To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to ensure food assistance during a major disaster or emergency declared under such Act.
116-HB8348,117-HB4677,"To direct restoration and protection of the New York-New Jersey watersheds and estuaries hydrologically connected to New York-New Jersey Harbor, and for other purposes."
116-HB8765,117-HB1150,To codify the Industry-Recognized Apprenticeship Programs of the Department of Labor.
116-HB4080,117-HB130,"To require the safe storage of firearms and ammunition, and to require the investigation of reports of improper storage of firearms or ammunition."
116-HB5484,117-HB351,"To amend the Food and Nutrition Act of 2008 to exclude from income, for the purpose of determining eligibility and benefits, income received from cost of living adjustments made under titles II and XVI of the Social Security Act and from supplementary payments received under section 1616 of such Act."
116-HB5466,117-HB2536,"To provide relief for victims of hate crimes, advance the safety and well-being of immigrants and refugees, and fund improved law enforcement and prosecution official training."
116-HB8049,117-HB2157,"To require the Corps of Engineers to prohibit certain discharges of water at Lake Okeechobee, and for other purposes."
116-HB8929,117-HB8126,"To improve the procedures of the national instant criminal background check system in the case of firearm transfers by federally licensed firearms importers, manufacturers, and dealers before the completion of the related criminal background check, and to provide for annual reports on default firearm transfers."
116-HB5337,117-HB5298,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to provide assistance for common interest communities, condominiums, and housing cooperatives damaged by a major disaster, and for other purposes."
116-HB4420,117-HB2033,To amend subpart 1 of part B of title IV of the Social Security Act to ensure that mental health screenings and assessments are provided to children and youth upon entry into foster care.
116-HB8868,117-HB2376,"To amend title V of the Public Health Service Act to provide for increased oversight of recovery housing, and for other purposes."
116-HB8725,117-HB2170,To amend title XIX of the Social Security Act to improve access to adult vaccines under Medicaid.
116-HB4678,117-HB4555,To amend the Public Health Service Act to authorize a public education campaign across all relevant programs of the Health Resources and Services Administration to increase oral health literacy and awareness.
116-HB7624,117-HB5211,To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide that COPS grant funds may be used for local law enforcement recruits to attend schools or academies if the recruits agree to serve in precincts of law enforcement agencies in their communities.
116-HB4570,117-HB3839,"To amend title II of the Social Security Act to allow workers who attain age 65 after 1981 and before 1992 to choose either lump sum payments over four years totaling $5,000 or an improved benefit computation formula under a new 10-year rule governing the transition to the changes in benefit computation rules enacted in the Social Security Amendments of 1977, and for other purposes."
116-HB8926,117-HB1845,"To amend chapter 261 of title 49, United States Code, to provide for high-speed rail corridor development, and for other purposes."
116-HB2356,117-HB1557,To amend the Internal Revenue Code of 1986 to extend certain credits related to solar energy.
116-HB8152,117-HB1766,"To enhance cooperation between the Federal Trade Commission and State Attorneys General to combat unfair and deceptive practices, and for other purposes."
116-HB7269,117-HB3761,"To amend the Federal Food, Drug, and Cosmetic Act to establish a time-limited provisional approval pathway, subject to specific obligations, for certain drugs and biological products, and for other purposes."
116-HB3930,117-HB2675,"To cap noninterest Federal spending as a percentage of potential GDP to right-size the Government, grow the economy, and balance the budget."
116-HB2925,117-HB5524,"To ensure the digital contents of electronic equipment and online accounts belonging to or in the possession of United States persons entering or exiting the United States are adequately protected at the border, and for other purposes."
116-HB7159,117-HB4305,"To amend the Community Mental Health Service Block Grant to authorize a set-aside for crisis care services, and for other purposes."
116-HB7147,117-HB4305,"To amend the Community Mental Health Service Block Grant to authorize a set-aside for crisis care services, and for other purposes."
116-HB6105,117-HB8199,"To ban certain small, high-powered magnets, and for other purposes."
116-HB2200,117-HB2268,"To amend title 38, United States Code, to ensure that certain diseases are covered by the presumption of service connection relating to the exposure to herbicides by certain veterans who served in the Republic of Vietnam, and for other purposes."
116-HB7723,117-HB1385,"To establish the position of Interagency Coordinator for Behavioral Health to coordinate the programs and activities of the Federal Government relating to mental health, and for other purposes."
116-HB4232,117-HB1107,"To amend the Communications Act of 1934 to ensure the ability to enforce State and local law relating to leasing and renting of real property, and for other purposes."
116-HB8766,117-HB585,"To direct the Secretary of Labor to provide for data collection and dissemination of information regarding programs under the national apprenticeship system, and for other purposes."
116-HB8953,117-HB9424,To amend the Public Health Service Act to authorize grants for graduate medical education partnerships in States with a low ratio of medical residents relative to the general population.
116-HB4712,117-HB1629,"To amend the Federal Food, Drug, and Cosmetic Act with respect to limitations on exclusive approval or licensure of orphan drugs, and for other purposes."
116-HB2812,117-HB2936,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 with respect to payments to certain public safety officers who have become permanently and totally disabled as a result of personal injuries sustained in the line of duty, and for other purposes."
116-HB7676,117-HB3029,To amend the Public Health Service Act to provide for hospital and insurer price transparency.
116-HB8608,117-HB2906,To amend title 9 of the United States Code to prohibit the enforcement of predispute arbitration agreements with respect to sexual assault claims.
116-HB8293,117-HB3244,"To ensure that Federal work-study funding is available for students enrolled in residency programs for teachers, principals, or school leaders, and for other purposes."
116-HB8304,117-HB6494,"To prohibit the disbursement of funds to entities owned or controlled by individuals with executive or managerial authority over the operations of political committees, and for other purposes."
116-HB7814,117-HB1351,To establish a strategic uranium reserve.
116-HB1724,117-HB6666,To amend the Higher Education Act of 1965 to improve the financial aid process for homeless and foster care youth.
116-HB5506,117-HB388,"To amend the Farm Security and Rural Investment Act of 2002 by requiring preclearance quarantine inspections for all movement to or from the State of Hawaii by either domestic or international travel, and for other purposes."
116-HB5848,117-HB3822,"To eliminate asset limits employed by certain federally funded means-tested public assistance programs, and for other purposes."
116-HB7525,117-HB5997,"To amend the Internal Revenue Code of 1986 to prohibit 501(c)(4) entities from using more than 10 percent of total expenditures on certain political expenditures, and for other purposes."
116-HB6488,117-HB1069,"To amend the Communications Act of 1934 to provide that the Federal Communications Commission is not required to perform any review under the National Environmental Policy Act of 1969 or division A of subtitle III of title 54, United States Code, as a condition of permitting the placement and installation of a communications facility, and for other purposes."
116-HB2731,117-HB1593,"To provide for automatic acquisition of United States citizenship for certain internationally adopted individuals, and for other purposes."
116-HB5590,117-HB234,"To amend title 38, United States Code, to treat certain individuals who served in Vietnam as a member of the armed forces of the Republic of Korea as a veteran of the Armed Forces of the United States for purposes of the provision of health care by the Department of Veterans Affairs."
116-HB8622,117-HB170,"To direct the Secretary of Homeland Security to establish national hazard preparation and response exercises, and for other purposes."
116-HB5498,117-HB300,"To amend title 46, United States Code, to allow transportation of merchandise in noncontiguous trade on foreign-flag vessels, and for other purposes."
116-HR606,117-HR495,"Calling for sickle cell trait research, surveillance, and public education and awareness, and for other purposes."
116-HB3341,117-HB4051,To make opioid treatment programs eligible for grants under section 2008 of the Social Security Act.
116-HB3419,117-HB459,"To amend title 18, United States Code, to prohibit former Members and elected officers of Congress from lobbying Congress at any time after leaving office, and for other purposes."
116-HB4116,117-HB2280,"To amend title 18, United States Code, to combat straw purchases of firearms and deter firearms trafficking."
116-HB7185,117-HB1265,"To amend title 18, United States Code, to make the disclosure of the identity of a whistleblower a criminal offense, to provide a civil right of action for the disclosure of the identity of a whistleblower, and for other purposes."
116-HB9002,117-HB4952,To amend title XIX of the Social Security Act to provide States an option to cover a children's program of all-inclusive coordinated care (ChiPACC) under Medicaid program.
116-HB5641,117-HB2205,"To amend title 49, United States Code, to provide grants and develop value capture policy."
116-HB8958,117-HB1350,To require the Secretary of Health and Human Services to publish guidance for States on strategies for maternal care providers participating in the Medicaid program to reduce maternal mortality and severe morbidity with respect to individuals receiving medical assistance under such program.
