116th Bill Name,117th Bill Name,Short Title
116-HB7048,117-HB9166,Nursing Home Pandemic Protection Act
116-HB2517,117-HB3287,United States Postal Service Shipping Equity Act
116-HB2638,117-HB4381,"To direct the Administrator of the Environmental Protection Agency to issue guidance on minimizing the use of firefighting foam containing PFAS, and for other purposes."
116-HB8858,117-HB1062,ACCESS 45Q Act Accelerating Carbon Capture and Extending Secure Storage through 45Q Act
116-HB4885,117-HB6362,McIntire-Stennis Act District of Columbia Equality Act
116-HB63,117-HB2874,Student Loan Disclosure Modernization Act
116-HB1161,117-HB2874,Student Loan Disclosure Modernization Act
116-HB8739,117-HB7093,"To withdraw certain Federal land in the San Bernardino National Forest in California from location, entry, and patent under mining laws, and for other purposes."
116-HB8738,117-HB7093,"To withdraw certain Federal land in the San Bernardino National Forest in California from location, entry, and patent under mining laws, and for other purposes."
116-HB323,117-HB258,To amend the Internal Revenue Code of 1986 to provide a tax credit for expenses for household and elder care services necessary for gainful employment.
116-HB3682,117-HB5493,Land Grant-Mercedes Traditional Use Recognition and Consultation Act
116-HB4589,117-HB3802,To make permanent the authority of the Secretary of Veterans Affairs to make grants for the transportation of highly rural veterans to medical care.
116-HB296,117-HB243,Title X Abortion Provider Prohibition Act
116-HB7556,117-HB7504,To amend the Internal Revenue Code of 1986 to make a portion of research credit refundable for certain small businesses engaging in specified medical research.
116-HB1702,117-HB1029,Free Veterans from Fees Act
116-HB1797,117-HB5144,National Capital Planning Commission District of Columbia Home Rule Act
116-HB4670,117-HB8700,Simplifying Student Loans Act
116-HB8868,117-HB2376,Excellence in Recovery Housing Act
116-HB2102,117-HB7089,VET PFAS Act Veterans Exposed to Toxic PFAS Act
116-HB8773,117-HB3501,To amend the Harmonized Tariff Schedule of the United States to provide for permanent duty-free treatment on imports of basketballs.
116-HB3249,117-HB2291,Financing Our Energy Future Act
116-HB1405,117-HB5519,Puerto Rico Data Collection Equality Act
116-HR295,117-HR105,Reaffirming that voting is a fundamental right of all eligible United States citizens and recognizing that allowing illegal immigrants the right to vote devalues the franchise and diminishes the voting power of United States citizens.
116-HB7492,117-HB1740,To designate all of Puerto Rico as an opportunity zone.
116-HR676,117-HR113,Expressing the sense of the House of Representatives that the United States should formally withdraw from the Paris Agreement.
116-HB2409,117-HB5128,Expanding Access to Capital for Rural Job Creators Act
116-HB4843,117-HB1432,Susan Harwood Training Grant Program Authorization Act
116-HB3563,117-HB3993,Stop Shackling and Detaining Pregnant Women Act
116-HB4426,117-HB6573,Office of Technology Assessment Improvement and Enhancement Act
116-HB188,117-HB613,SALT Deductibility Act Securing Access to Lower Taxes by ensuring Deductibility Act
116-HR588,117-HR856,"Expressing support for the designation of ""National Amplified Musculoskeletal Pain Syndrome Awareness Day""."
116-HJR5,117-HJR2,Proposing an amendment to the Constitution of the United States relative to balancing the budget.
116-HB2907,117-HB8686,Wounded Warrior Research Enhancement Act
116-HR197,117-HR148,Expressing the sense of the House of Representatives with respect to Marcus Garvey.
116-HB126,117-HB126,Students Voicing Opinions in Today’s Elections (VOTE) Act
116-HB1628,117-HB2530,Enewetak Atoll Cleanup Radiation Study Act
116-HB1853,117-HB4778,District of Columbia Courts Vacancy Reduction Act
116-HB1422,117-HB1127,Stop Foreign Donations Affecting Our Elections Act
116-HB8209,117-HB5098,"To amend the Bridgeport Indian Colony Land Trust, Health, and Economic Development Act of 2012 to remove the restriction on class II gaming on certain land in California."
116-HB3280,117-HB3834,LGBTQ Essential Data Act
116-HB784,117-HB1080,Pain-Capable Unborn Child Protection Act
116-HB3345,117-HB4325,MORE Act Making Opportunities Reachable for Everyone Act
116-HB7799,117-HB1809,"To designate a portion of United States Route 80 in Alabama as the ""John R. Lewis Voting Rights Highway"", and for other purposes."
116-HB409,117-HB1425,To amend the Internal Revenue Code of 1986 to repeal the limitation on the cover over of distilled spirits taxes to the Virgin Islands and Puerto Rico.
116-HB3980,117-HB3151,Eric’s Law
116-HB6059,117-HB6318,To amend the Internal Revenue Code of 1986 to extend certain tax benefits related to empowerment zones to the District of Columbia.
116-HB8292,117-HB6765,FUELS Act Farmers Undertake Environmental Land Stewardship Act
116-HR16,117-HR55,"Recognizing the importance of access to comprehensive, high-quality, life-affirming medical care for women of all ages."
116-HB1798,117-HB891,Students and Families Empowerment Act
116-HB385,117-HB1496,Sarah's Law
116-HB1990,117-HB956,National Aviation Heritage Area Reauthorization Act
116-HB2993,117-HB4758,Steel Industry Preservation Act
116-HCR12,117-HCR12,Expressing the sense of Congress that a commemorative postage stamp should be issued in honor of the Buffalo Soldiers.
116-HB1727,117-HB7913,Complete America’s Great Trails Act
116-HJR68,117-HJR3,Proposing a balanced budget amendment to the Constitution of the United States.
116-HJR55,117-HJR3,Proposing a balanced budget amendment to the Constitution of the United States.
116-HJR22,117-HJR3,Proposing a balanced budget amendment to the Constitution of the United States.
116-HJR99,117-HJR3,Proposing a balanced budget amendment to the Constitution of the United States.
116-HJR6,117-HJR3,Proposing a balanced budget amendment to the Constitution of the United States.
116-HJR108,117-HJR3,Proposing a balanced budget amendment to the Constitution of the United States.
116-HJR51,117-HJR3,Proposing a balanced budget amendment to the Constitution of the United States.
116-HB2186,117-HB2160,Student Loan Refinancing Act
116-HB8828,117-HB5578,Public Safety and Wildlife Protection Act
116-HB2614,117-HB195,Group Term Life Insurance Increase Act
116-HB4083,117-HB1521,FINISH Act Fund for Innovation and Success in Higher Education Act
116-HB6235,117-HB9490,NETWORKS Act Neutralizing Emerging Threats from Wireless OEMs Receiving direction from Kleptocracies and Surveillance states Act
116-HB4080,117-HB7545,Kimberly Vaughan Firearm Safe Storage Act
116-HB2349,117-HB2310,Climate Change Education Act
116-HB3818,117-HB9111,INFANT Act Infants Need Food And Nutrition Today Act
116-HB2568,117-HB1273,Vietnam Veterans Liver Fluke Cancer Study Act
116-HB433,117-HB3567,Veterans’ Entry to Apprenticeship Act
116-HB5450,117-HB8097,"Cleaner, Quieter Airplanes Act"
116-HB3347,117-HB5240,Rural Health Training Opportunities Act
116-HB8353,117-HB188,Women’s Public Health and Safety Act
116-HB888,117-HB188,Women’s Public Health and Safety Act
116-HB5844,117-HB9445,ACCESS Rural America Act Access to Capital Creates Economic Strength and Supports Rural America Act
116-HB734,117-HB576,Next Generation Votes Act
116-HB8060,117-HB2264,Tele-Mental Health Improvement Act
116-HB2357,117-HB1824,Puerto Rico Air Cargo Industry Empowerment Act
116-HB8539,117-HB472,District of Columbia-Maryland Reunion Act
116-HR465,117-HR499,"Expressing support for the designation of June 26 as ""LGBTQ Equality Day""."
116-HB1708,117-HB1075,Rim of the Valley Corridor Preservation Act
116-HB166,117-HB166,Fair Lending for All Act
116-HR1237,117-HR810,Supporting the goals and ideals of American Diabetes Month.
116-HB958,117-HB2740,Native Youth and Tribal Officer Protection Act
116-HB5605,117-HB852,United States-Israel PTSD Collaborative Research Act
116-HB6048,117-HB3819,Special Needs Tax Credit Act
116-HB8153,117-HB3639,Blockchain Innovation Act
116-HB5583,117-HB2747,Help Grandfamilies Prevent Child Abuse Act
116-HB3356,117-HB855,VETS Safe Travel Act Veterans Expedited TSA Screening Safe Travel Act
116-HB3824,117-HB2642,Cahokia Mounds Mississippian Culture National Historical Park Act
116-HB4939,117-HB1604,STOP Straw Purchases Act
116-HB5464,117-HB7542,Congressional Accountability Act Enhancement Act
116-HB2126,117-HB3458,State and Local Pensions Accountability and Security Act
116-HJR13,117-HJR45,Proposing an amendment to the Constitution of the United States to clarify the presidential pardoning power.
116-HB4316,117-HB4667,Public School Emergency Relief Act
116-HB6941,117-HB4001,Online Retailer Product Origin Disclosure Act
116-HB8668,117-HB307,"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to include the KIA, MIA, and POW acronyms on headstones and markers furnished by the Department of Veterans Affairs."
116-HB6471,117-HB896,Dr. Li Wenliang Congressional Gold Medal Act
116-HB7042,117-HB7932,Foster Youth and Driving Act
116-HB2935,117-HB2209,Stopping Overdoses of Fentanyl Analogues Act
116-HR1147,117-HR196,"Expressing the sense of the House of Representatives regarding the importance of taking a feminist approach to all aspects of foreign policy, including foreign assistance and humanitarian response, trade, diplomacy, defense, immigration, funding, and accountability mechanisms."
116-HB1451,117-HB1245,Alice Paul Voter Protection Act
116-HB7024,117-HB501,Climate Smart Ports Act
116-HB7335,117-HB1042,Protecting Critical Infrastructure Act
116-HB7557,117-HB5119,To amend title VI of the Social Security Act to extend the coverage of Coronavirus Relief Fund payments to Tribal Governments.
116-HB7630,117-HB3072,COACH Act Convening Operations Assistance for Childcare Heroes Act
116-HB7965,117-HB700,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office""."
116-HB7870,117-HB700,"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office""."
116-HB605,117-HB2783,Official Time Reporting Act
116-HB7641,117-HB3278,To amend the Internal Revenue Code of 1986 to apply the mailbox rule to certain payments made through the Electronic Federal Tax Payment System.
116-HB5086,117-HB7159,"To terminate certain waivers of sanctions with respect to Iran issued in connection with the Joint Comprehensive Plan of Action, and for other purposes."
116-HB5947,117-HB2474,Invest in American Railroads Act
116-HB8378,117-HB4451,Securities Clarity Act
116-HB5771,117-HB3269,Federal Initiative to Guarantee Health by Targeting Fentanyl Act
116-HB2395,117-HB3741,"To authorize the President to award the Purple Heart to Louis Boria, Jr., for injuries incurred during World War II and the Korean War while a member of the Marine Corps."
116-HB6128,117-HB1254,Eliminate Agency Excess Space Act
116-HB6431,117-HB3584,Made in America Emergency Preparedness Act
116-HB5003,117-HB1491,Fair Debt Collection Practices for Servicemembers Act
116-HB6683,117-HB3782,Relief for America's Small Farmers Act
116-HB8488,117-HB2024,Southern Maryland National Heritage Area Act
116-HB7337,117-HB1043,Proportional Reviews for Broadband Deployment Act
116-HB1003,117-HB2233,Aretha Franklin Congressional Gold Medal Act
116-HB2504,117-HB2249,Willie O’Ree Congressional Gold Medal Act
116-HB5115,117-HB2357,RECOVER Act Realizing the Economic Opportunities and Value of Expanding Recycling Act
116-HCR74,117-HCR25,Encouraging the Architect of the Capitol to transition to the exclusive use of electricity derived from renewable energy sources to power the United States Capitol Complex by 2032.
116-HB3296,117-HB7894,Affordability is Access Act
116-HB8580,117-HB4358,Little Manatee Wild and Scenic River Act
116-HB6284,117-HB3628,21st Century Smart Cars Act
116-HB7230,117-HB3167,"To designate the facility of the United States Postal Service located at Block 1025, Lots 18 & 19, Northeast Corner of US Route 9 South and Main Street in the Township of Middle, County of Cape May, New Jersey, as the ""George Henry White Post Office Building""."
116-HB7555,117-HB7505,To amend the Internal Revenue Code of 1986 to add a new medical research component to the credit for increasing research activities.
116-HB6696,117-HB346,SUPPLIES Act Shoring Up Personal Protective and Lifesaving Indispensable Equipment Stockpile Act
116-HB6952,117-HB316,To direct the President to appoint a Medical Supplies Response Coordinator to coordinate the efforts of the Federal Government regarding the supply and distribution of certain supplies and equipment relating to COVID-19.
116-HB6571,117-HB7315,TEAM Veteran Caregivers Act Transparency and Effective Accountability Measures for Veteran Caregivers Act
116-HB3419,117-HB459,HUMBLE Act Halt Unchecked Member Benefits with Lobbying Elimination Act
116-HB5638,117-HB48,American Sovereignty and Species Protection Act
116-HJR20,117-HJR12,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.
116-HB589,117-HB3265,Middle Class Savings Act
116-HB5576,117-HB3971,Double Dip Elimination Act
116-HB4951,117-HB645,School Security Enhancement Act
116-HB3285,117-HB2707,Handgun Purchaser Licensing Act
116-HB577,117-HB1078,Prohibiting Perks and Privileges Act
116-HR234,117-HR276,"Recognizing the heritage, culture, and contributions of Latinas in the United States."
116-HB3370,117-HB4780,Refuge System Protection Act
116-HB7420,117-HB3930,Voices for Veterans Act
116-HCR10,117-HCR7,Authorizing the use of the rotunda of the Capitol to honor the last surviving Medal of Honor recipient of the Second World War upon death.
116-HB7509,117-HB2463,TSA Second Screening Act
116-HB7601,117-HB2622,CONFUCIUS Act Concerns Over Nations Funding University Campus Institutes in the United States Act
116-HB1162,117-HB1015,Water Recycling Investment and Improvement Act
116-HB5774,117-HB5938,Veterans HOPE Act Veterans Heroin Overdose Prevention Examination Act
116-HB8306,117-HB1014,Veterans National Traumatic Brain Injury Treatment Act
116-HB5978,117-HB5555,MADE HERE Act Manufacturing American Dynamism in Entrepreneurship and Harnessing Education to Retool Employees Act
116-HB5068,117-HB3531,Women Who Worked on the Home Front World War II Memorial Act
116-HCR122,117-HCR122,Recognizing the significance of equal pay and the disparity in wages paid to Latina women in comparison to men.
116-HCR76,117-HCR122,Recognizing the significance of equal pay and the disparity in wages paid to Latina women in comparison to men.
