Bill Name,Committee Name,Congress
116-HB2613,Financial Services,116
116-HB2951,Energy And Commerce,116
116-HR1045,Armed Services,116
116-HB1937,Natural Resources,116
117-HB3006,Financial Services,117
117-HB3392,Small Business,117
117-HB5201,Armed Services,117
116-HB8994,Education and Labor,116
117-HB5970,Oversight and Reform,117
117-HB2059,Oversight and Reform,117
117-HB3843,Judiciary,117
117-HR1088,Oversight and Reform,117
117-HB3063,Energy And Commerce,117
117-HB9349,"Science, Space, And Technology",117
116-HB4155,Judiciary,116
116-HR1051,Oversight and Reform,116
117-HB3713,"Science, Space, And Technology",117
116-HB1549,Transportation And Infrastructure,116
117-HB2251,Oversight and Reform,117
116-HB614,Natural Resources,116
116-HB4013,Energy And Commerce,116
116-HB5000,Energy And Commerce,116
117-HB6728,Natural Resources,117
117-HB5265,"Science, Space, And Technology",117
117-HB6064,Veterans' Affairs,117
117-HB4134,Foreign Affairs,117
116-HR292,Foreign Affairs,116
117-HB4510,Energy And Commerce,117
116-HB2268,Energy And Commerce,116
117-HB7847,Energy And Commerce,117
117-HR692,Veterans' Affairs,117
117-HB6675,Veterans' Affairs,117
117-HB2056,Oversight and Reform,117
116-HB5294,Financial Services,116
117-HB9570,Financial Services,117
117-HB3203,Energy And Commerce,117
116-HB1444,Ways And Means,116
116-HB6667,Armed Services,116
116-HB1559,Energy And Commerce,116
116-HCR42,Ways And Means,116
116-HB3959,Transportation And Infrastructure,116
117-HB904,Judiciary,117
117-HB4404,Natural Resources,117
117-HB8533,Judiciary,117
117-HB8733,Transportation And Infrastructure,117
116-HB8144,Veterans' Affairs,116
117-HB8350,Veterans' Affairs,117
116-HB5830,Education and Labor,116
117-HB91,Oversight and Reform,117
116-HB5820,Administration,116
117-HR80,Energy And Commerce,117
116-HB8158,Energy And Commerce,116
117-HB6598,Ways And Means,117
117-HB4732,Veterans' Affairs,117
117-HB7560,Armed Services,117
117-HB3945,Foreign Affairs,117
117-HB2046,Foreign Affairs,117
117-HB6655,Judiciary,117
116-HB8308,Energy And Commerce,116
116-HB5747,Natural Resources,116
117-HB3852,Veterans' Affairs,117
117-HB382,Transportation And Infrastructure,117
117-HR1267,Energy And Commerce,117
117-HB1381,Ways And Means,117
116-HB3590,Ways And Means,116
116-HB7639,Foreign Affairs,116
117-HR884,Education and Labor,117
117-HB7628,Small Business,117
116-HB3114,Ways And Means,116
117-HB9369,Judiciary,117
116-HB6937,Energy And Commerce,116
117-HB3720,Transportation And Infrastructure,117
116-HB8885,Ways And Means,116
116-HB5562,Oversight and Reform,116
116-HR571,Administration,116
117-HB6455,Foreign Affairs,117
116-HB811,Education and Labor,116
117-HB3397,Education and Labor,117
117-HB2609,Armed Services,117
116-HB4777,Administration,116
116-HB2555,Armed Services,116
116-HB6297,Financial Services,116
117-HB6647,Veterans' Affairs,117
117-HB3553,Oversight and Reform,117
117-HB3444,Ways And Means,117
116-HB6813,Judiciary,116
116-HJR61,Foreign Affairs,116
117-HB5313,Energy And Commerce,117
117-HB1608,Transportation And Infrastructure,117
117-HR541,Oversight and Reform,117
116-HB8603,Financial Services,116
117-HB3061,Transportation And Infrastructure,117
117-HB9248,Judiciary,117
117-HB1392,Foreign Affairs,117
116-HB3004,Administration,116
116-HB3523,Energy And Commerce,116
116-HB5482,Energy And Commerce,116
117-HB3770,Homeland Security,117
116-HB5070,Oversight and Reform,116
117-HB437,Natural Resources,117
117-HR1015,Ways And Means,117
117-HB7039,Judiciary,117
117-HB3401,Veterans' Affairs,117
116-HB105,Energy And Commerce,116
116-HR959,Education and Labor,116
117-HR1169,Ways And Means,117
116-HB9015,Energy And Commerce,116
116-HB3543,Small Business,116
116-HB7493,Energy And Commerce,116
117-HB8746,Ways And Means,117
116-HB5414,Education and Labor,116
116-HB3019,Oversight and Reform,116
117-HB3566,Transportation And Infrastructure,117
117-HR515,"Science, Space, And Technology",117
116-HR78,Oversight and Reform,116
117-HB6606,Energy And Commerce,117
116-HR707,Oversight and Reform,116
116-HB8777,Judiciary,116
117-HB3827,Energy And Commerce,117
116-HB7361,Foreign Affairs,116
117-HB1105,Judiciary,117
117-HB3949,Financial Services,117
116-HB4703,Administration,116
116-HB6642,Judiciary,116
117-HB3088,Judiciary,117
117-HR114,Oversight and Reform,117
117-HB2960,Judiciary,117
117-HB4513,Small Business,117
117-HB490,Homeland Security,117
116-HB6585,Energy And Commerce,116
117-HB8944,Oversight and Reform,117
116-HB8544,Energy And Commerce,116
116-HB4774,Oversight and Reform,116
116-HB2165,Energy And Commerce,116
117-HB3218,Transportation And Infrastructure,117
117-HR124,Foreign Affairs,117
117-HB8478,Financial Services,117
117-HB2955,Energy And Commerce,117
116-HB8224,Natural Resources,116
117-HB7123,Financial Services,117
116-HB6964,Transportation And Infrastructure,116
117-HB3319,Energy And Commerce,117
116-HB6922,Transportation And Infrastructure,116
117-HB9231,Ways And Means,117
117-HB8804,Armed Services,117
116-HB937,Energy And Commerce,116
117-HJR9,Judiciary,117
116-HB3799,Judiciary,116
116-HB6338,Ways And Means,116
116-HB1221,Agriculture,116
116-HB7962,Transportation And Infrastructure,116
117-HR33,Education and Labor,117
116-HB7287,Veterans' Affairs,116
116-HB3198,Financial Services,116
116-HB6849,Ways And Means,116
117-HR944,Judiciary,117
117-HR1044,Oversight and Reform,117
116-HB815,Appropriations,116
116-HB315,Natural Resources,116
116-HB1329,Energy And Commerce,116
117-HR945,Foreign Affairs,117
116-HB7365,Transportation And Infrastructure,116
117-HB3600,Natural Resources,117
117-HR136,Foreign Affairs,117
116-HB2405,Natural Resources,116
116-HB2284,Ways And Means,116
116-HB177,Ways And Means,116
117-HB3481,Transportation And Infrastructure,117
117-HB170,Transportation And Infrastructure,117
117-HB8268,Ways And Means,117
116-HB5429,Energy And Commerce,116
117-HB9052,Armed Services,117
117-HB7943,Administration,117
116-HB3828,"Science, Space, And Technology",116
116-HCR10,Administration,116
116-HB8914,Financial Services,116
117-HB4901,Financial Services,117
116-HB1446,Oversight and Reform,116
116-HB8702,Energy And Commerce,116
116-HB5322,Financial Services,116
117-HR1494,Administration,117
116-HB5063,Armed Services,116
117-HB4392,Judiciary,117
116-HR950,Natural Resources,116
117-HB3844,"Science, Space, And Technology",117
116-HB2797,Agriculture,116
117-HR104,Education and Labor,117
117-HB2424,Agriculture,117
116-HB2470,Transportation And Infrastructure,116
116-HB4146,Education and Labor,116
116-HB7772,Ways And Means,116
116-HB3965,Energy And Commerce,116
116-HB6574,Armed Services,116
117-HCR118,Administration,117
117-HB2969,Veterans' Affairs,117
116-HB4619,Energy And Commerce,116
116-HB8208,Natural Resources,116
116-HB5069,Education and Labor,116
117-HB5786,Foreign Affairs,117
116-HB1820,Foreign Affairs,116
116-HB4932,Energy And Commerce,116
116-HB8562,Armed Services,116
117-HB5285,Ways And Means,117
117-HB1326,Energy And Commerce,117
116-HB2899,Financial Services,116
116-HB2404,Foreign Affairs,116
116-HB7620,Judiciary,116
117-HR1311,Energy And Commerce,117
117-HB5391,Education and Labor,117
116-HB8459,Administration,116
117-HB8010,Energy And Commerce,117
117-HB7317,Ways And Means,117
116-HB7118,Administration,116
117-HB3845,Small Business,117
117-HB739,Judiciary,117
116-HB8851,Small Business,116
116-HB1680,Ways And Means,116
116-HB5855,Energy And Commerce,116
117-HB2535,Judiciary,117
117-HR990,Foreign Affairs,117
117-HB4434,Judiciary,117
117-HB1771,Veterans' Affairs,117
116-HR1112,Education and Labor,116
117-HB5999,Agriculture,117
116-HR1011,Foreign Affairs,116
117-HR1209,Judiciary,117
117-HB6495,Homeland Security,117
116-HB136,Oversight and Reform,116
117-HB6193,Armed Services,117
116-HB5730,Energy And Commerce,116
117-HB5473,Oversight and Reform,117
116-HR314,Rules,116
116-HR897,Ways And Means,116
117-HB695,Oversight and Reform,117
116-HB5065,Small Business,116
116-HB7469,Veterans' Affairs,116
116-HB5656,Education and Labor,116
117-HB5552,Energy And Commerce,117
117-HB2391,Veterans' Affairs,117
117-HR169,Judiciary,117
117-HR1459,Veterans' Affairs,117
117-HB9168,Foreign Affairs,117
117-HB6564,Education and Labor,117
117-HB7762,Transportation And Infrastructure,117
117-HB999,Natural Resources,117
117-HB7850,Energy And Commerce,117
117-HB2077,Ways And Means,117
116-HB1832,Financial Services,116
117-HB9041,Ways And Means,117
116-HB4882,Energy And Commerce,116
116-HJR63,Foreign Affairs,116
116-HB958,Natural Resources,116
117-HB5094,Ways And Means,117
117-HB7153,Veterans' Affairs,117
117-HB3520,Judiciary,117
116-HB4662,Education and Labor,116
117-HB8514,Natural Resources,117
116-HB6655,Oversight and Reform,116
117-HB5236,Foreign Affairs,117
117-HB9227,Energy And Commerce,117
116-HB6523,Financial Services,116
117-HB6357,Education and Labor,117
116-HR183,Judiciary,116
117-HB7411,Financial Services,117
116-HB3745,Financial Services,116
117-HB5661,Ways And Means,117
117-HB1267,Judiciary,117
116-HB3907,Homeland Security,116
116-HB7249,Budget,116
116-HB1522,Judiciary,116
116-HR1262,Administration,116
117-HB3314,Natural Resources,117
116-HB3856,Judiciary,116
116-HB7946,Financial Services,116
116-HR178,Administration,116
117-HB5599,Armed Services,117
117-HB3665,Veterans' Affairs,117
116-HB2208,Transportation And Infrastructure,116
117-HB6508,Ways And Means,117
117-HR783,Armed Services,117
116-HB776,Energy And Commerce,116
117-HB5555,Energy And Commerce,117
117-HB7630,Energy And Commerce,117
117-HB7014,Ways And Means,117
117-HB2988,Oversight and Reform,117
116-HB4692,Foreign Affairs,116
117-HB5663,Energy And Commerce,117
116-HB5941,Foreign Affairs,116
117-HB8932,Education and Labor,117
117-HR918,Oversight and Reform,117
117-HB2279,Energy And Commerce,117
117-HB2124,Ways And Means,117
116-HB3407,Financial Services,116
116-HB5731,Transportation And Infrastructure,116
116-HB3922,Ways And Means,116
117-HB1770,Education and Labor,117
117-HB8923,Education and Labor,117
116-HB4648,Education and Labor,116
116-HR600,Oversight and Reform,116
116-HB4241,Education and Labor,116
117-HB3174,Judiciary,117
117-HB1850,Homeland Security,117
116-HB8816,Financial Services,116
117-HB8181,Energy And Commerce,117
117-HJR91,Natural Resources,117
116-HB5839,Natural Resources,116
116-HB6467,Oversight and Reform,116
117-HB1491,Financial Services,117
116-HB551,Judiciary,116
116-HB4116,Judiciary,116
116-HB4776,Education and Labor,116
116-HB3131,Energy And Commerce,116
117-HB1090,Energy And Commerce,117
117-HB8884,Energy And Commerce,117
116-HR1097,Ways And Means,116
117-HB7574,Armed Services,117
117-HB6721,Transportation And Infrastructure,117
117-HB5668,Transportation And Infrastructure,117
116-HB8555,Energy And Commerce,116
117-HB4163,Judiciary,117
117-HB3284,"Science, Space, And Technology",117
117-HB1070,Administration,117
116-HB3492,Education and Labor,116
117-HB4491,Armed Services,117
116-HB4094,"Science, Space, And Technology",116
116-HB1482,Veterans' Affairs,116
117-HB7352,Small Business,117
117-HB9116,Natural Resources,117
116-HB5997,Energy And Commerce,116
117-HB2582,Small Business,117
116-HB6987,Small Business,116
116-HB3197,Education and Labor,116
116-HR786,Oversight and Reform,116
117-HB6811,Judiciary,117
116-HB8814,Intelligence,116
117-HR442,Armed Services,117
116-HB4586,Education and Labor,116
117-HB8931,Energy And Commerce,117
116-HB981,Education and Labor,116
116-HB4511,Judiciary,116
117-HB5905,Veterans' Affairs,117
117-HB4216,Administration,117
117-HB6304,Education and Labor,117
116-HB5447,Veterans' Affairs,116
117-HB8297,Energy And Commerce,117
